Recording URL,Publicly Shared,Already Watched,Comments,Labels,Created,New / Returning,Hotjar User ID,Country,Action Count,Page Count,Duration (seconds),Device,Device Screen Size,Browser,Operating System,Referrer URL,Landing Page URL,Exit Page URL,Rage Clicks,U-Turns,Incoming Feedback,Net Promoter Score®,Events,Target
https://insights.hotjar.com/r?site=2751917&recording=52450634392,FALSE,TRUE,,,2024-05-11T23:33:49,New user,c6724337,US,679,1,1774,Phone,412 X 699,Facebook,Android,https://lm.facebook.com/,https://stormbasketballtraining.com/programs/register/?fbclid=IwAR0I_A5xZD_xVEGdkAJpLpxS4IRszO9MUXOnpOnITLOi52ny4Vr8QfMkjH0_aem_Af2IKv7TLTGv2d1SYpChdndY3wQTTHnDfxr4iB_BIPP5ZHDusyKVxiUCXTuwxnP93HDzvUe3P0rN4nweSyCOKkvY&utm_medium=paid&utm_source=fb&utm_id=120211520356790387&utm_content=120211520357020387&utm_term=120211520356970387&utm_campaign=120211520356790387,https://stormbasketballtraining.com/programs/register/?fbclid=IwAR0I_A5xZD_xVEGdkAJpLpxS4IRszO9MUXOnpOnITLOi52ny4Vr8QfMkjH0_aem_Af2IKv7TLTGv2d1SYpChdndY3wQTTHnDfxr4iB_BIPP5ZHDusyKVxiUCXTuwxnP93HDzvUe3P0rN4nweSyCOKkvY&utm_medium=paid&utm_source=fb&utm_id=120211520356790387&utm_content=120211520357020387&utm_term=120211520356970387&utm_campaign=120211520356790387,2,0,N/A,N/A,,No
https://insights.hotjar.com/r?site=2751917&recording=52074253293,FALSE,TRUE,,,2024-05-07T02:43:44,New user,6fad87e6,CA,66,3,384,Desktop,1707 X 569,Chrome,Windows,https://blyth-deerview.com/,https://wavehockey.playbookapi.com/programs/register/blyth_deerview_tryouts/,https://wavehockey.playbookapi.com/programs/register/camps/,2,0,N/A,N/A,,Yes
https://insights.hotjar.com/r?site=2751917&recording=53377875988,FALSE,FALSE,,,2024-05-23T19:32:24,New user,f23e2bb4,US,39,1,317,Desktop,1920 X 911,Chrome,Windows,https://www.newtownvolleyball.com/,https://newtownvolleyball.playbookapi.com/programs/register/,https://newtownvolleyball.playbookapi.com/programs/register/,1,0,N/A,N/A,,Yes
https://insights.hotjar.com/r?site=2751917&recording=52412973195,FALSE,TRUE,,,2024-05-11T11:31:18,New user,7883f546,US,38,4,160,Desktop,1500 X 867,Firefox,Windows,https://www.google.com/,https://www.nycbasketballleague.com/programs/,https://www.nycbasketballleague.com/facilities/,1,0,N/A,N/A,,Yes
https://insights.hotjar.com/r?site=2751917&recording=52219320276,FALSE,TRUE,,,2024-05-08T20:46:18,Returning user,c5bb7524,US,27,1,71,Desktop,1272 X 686,Edge,Windows,,https://www.nycbasketballleague.com/roster/?_hsenc=p2ANqtz-_zw0UAYjhoCjq0rYiLldNC0QD04y36tsNHxg6Gud072MG4npFSBdUU7sze6Dei9RqBiE3eiJ7etxfLfmYSG4FOpRqcqQ&_hsmi=303683351&utm_campaign=Adult+league&utm_content=303683351&utm_medium=email&utm_source=hs_email,https://www.nycbasketballleague.com/roster/?_hsenc=p2ANqtz-_zw0UAYjhoCjq0rYiLldNC0QD04y36tsNHxg6Gud072MG4npFSBdUU7sze6Dei9RqBiE3eiJ7etxfLfmYSG4FOpRqcqQ&_hsmi=303683351&utm_campaign=Adult+league&utm_content=303683351&utm_medium=email&utm_source=hs_email,1,0,N/A,N/A,,No
https://insights.hotjar.com/r?site=2751917&recording=52147022207,FALSE,TRUE,,,2024-05-07T23:40:51,Returning user,808c1889,US,36,1,195,Desktop,1703 X 889,Safari,Mac,https://www.playvaba.org/,https://playvaba.playbookapi.com/programs/register/,https://playvaba.playbookapi.com/programs/register/,2,0,N/A,N/A,,Yes
https://insights.hotjar.com/r?site=2751917&recording=51912032813,FALSE,TRUE,,,2024-05-04T21:25:24,New user,13feddb1,US,51,1,83,Desktop,1728 X 824,Firefox,Windows,https://www.hotvolleyballnyc.com/,https://hotvolleyballnyc.playbookapi.com/programs/register/summer_camps/,https://hotvolleyballnyc.playbookapi.com/programs/register/summer_camps/,1,0,N/A,N/A,,Yes
https://insights.hotjar.com/r?site=2751917&recording=51652064752,FALSE,TRUE,,,2024-05-01T12:38:44,New user,a2144146,US,57,2,204,Desktop,1920 X 945,Chrome,Windows,https://www.google.com/,https://www.nycbasketballleague.com/programs/,https://www.nycbasketballleague.com/programs/register/classes/,1,0,N/A,N/A,,Yes
https://insights.hotjar.com/r?site=2751917&recording=53297676619,FALSE,FALSE,,,2024-05-22T20:36:33,Returning user,34fd4516,US,30,7,431,Desktop,1920 X 1039,Chrome,Windows,https://nxgathletics.playbookapi.com/programs/rentals/?resource_type=staff,https://nxgathletics.playbookapi.com/programs/register/memberships_and_packages/,https://nxgathletics.playbookapi.com/programs/register/small_group_training/,1,0,N/A,N/A,,No
https://insights.hotjar.com/r?site=2751917&recording=53006460036,FALSE,TRUE,,,2024-05-19T04:54:13,New user,1fee613f,US,30,2,83,Desktop,1536 X 695,Chrome,Windows,https://www.google.com/,https://www.nycbasketballleague.com/pricing/?keyword=adult%20basketball%20leagues&matchtype=b&adgroupid=2387683391&campaign={campaign}&utm_campaign={utm_campaign}&utm_source=adwords&utm_term=adult%20basketball%20leagues&utm_medium=ppc&hsa_mt=b&hsa_acc=2409067266&hsa_grp=2387683391&hsa_tgt=kwd-460110569&hsa_net=adwords&hsa_ad=252070032235&hsa_src=g&hsa_kw=adult%20basketball%20leagues&hsa_ver=3&hsa_cam=62716631&gad_source=1&gclid=CjwKCAjwo6GyBhBwEiwAzQTmc_dkjUhh1tIy4zkrTVPSTst-l89TES-fYARsZbtVBZdyS6GozYK5mBoCzAQQAvD_BwE,https://www.nycbasketballleague.com/programs/register/,1,0,N/A,N/A,,Yes
https://insights.hotjar.com/r?site=2751917&recording=52809090158,FALSE,TRUE,,,2024-05-16T13:24:22,New user,a488aa3a,US,35,1,41,Desktop,1920 X 945,Chrome,Windows,https://wasatchsoccer.org/,https://wasatchsoccer.playbookapi.com/programs/register/,https://wasatchsoccer.playbookapi.com/programs/register/,1,0,N/A,N/A,,Yes
https://insights.hotjar.com/r?site=2751917&recording=52590444288,FALSE,TRUE,,,2024-05-13T20:21:56,New user,b12466d3,US,19,2,38,Desktop,1920 X 911,Chrome,Windows,https://esgsports.com/,https://esgsports.playbookapi.com/programs/rentals/?resource_type=staff,https://esgsports.playbookapi.com/programs/rentals/?resource_type=staff,1,0,N/A,N/A,,No
https://insights.hotjar.com/r?site=2751917&recording=51573819133,FALSE,FALSE,,,2024-04-30T12:34:18,Returning user,aca42117,US,20,1,62,Desktop,1142 X 657,Safari,Mac,,https://juniordolphinsfootball.playbookapi.com/programs/register/camps/?_gl=1*q5qxgf*_gcl_au*MTk3MjExNTYwMi4xNzEzNzk0ODk4,https://juniordolphinsfootball.playbookapi.com/programs/register/camps/?_gl=1*q5qxgf*_gcl_au*MTk3MjExNTYwMi4xNzEzNzk0ODk4,1,0,N/A,N/A,,Yes
